,month,sigma,fif,blind_oracle,random_marker,lru,lv_marker,rohatgi_marker,adaptive_query_2,adaptive_query_4,adaptive_query_8
0,1,0,749,749,2287,2080,1331,1331,1846,1539,1389
1,1,0,749,749,2291,2080,1331,1331,1850,1543,1386
2,1,0,749,749,2296,2080,1331,1331,1819,1545,1386
3,1,0,749,749,2307,2080,1331,1331,1845,1549,1396
4,1,0,749,749,2307,2080,1331,1331,1825,1531,1393
5,1,0,749,749,2288,2080,1331,1331,1821,1554,1387
6,1,0,749,749,2278,2080,1331,1331,1840,1543,1397
7,1,0,749,749,2311,2080,1331,1331,1815,1547,1395
8,1,0,749,749,2333,2080,1331,1331,1805,1555,1384
9,1,0,749,749,2296,2080,1331,1331,1814,1544,1400
10,1,0,749,749,2304,2080,1331,1331,1798,1548,1392
11,1,0,749,749,2296,2080,1331,1331,1820,1546,1372
12,1,0,749,749,2346,2080,1331,1331,1833,1541,1386
13,1,0,749,749,2322,2080,1331,1331,1831,1541,1392
14,1,0,749,749,2319,2080,1331,1331,1841,1537,1404
15,1,0,749,749,2308,2080,1331,1331,1813,1548,1405
16,1,0,749,749,2326,2080,1331,1331,1832,1546,1399
17,1,0,749,749,2320,2080,1331,1331,1818,1559,1396
18,1,0,749,749,2293,2080,1331,1331,1794,1554,1383
19,1,0,749,749,2309,2080,1331,1331,1823,1546,1396
0,2,0,781,781,2388,2156,1368,1368,1921,1582,1440
1,2,0,781,781,2384,2156,1368,1368,1875,1604,1432
2,2,0,781,781,2355,2156,1368,1368,1923,1601,1434
3,2,0,781,781,2407,2156,1368,1368,1891,1600,1433
4,2,0,781,781,2390,2156,1368,1368,1905,1580,1435
5,2,0,781,781,2394,2156,1368,1368,1890,1588,1441
6,2,0,781,781,2449,2156,1368,1368,1892,1605,1427
7,2,0,781,781,2422,2156,1368,1368,1864,1589,1440
8,2,0,781,781,2385,2156,1368,1368,1926,1591,1436
9,2,0,781,781,2427,2156,1368,1368,1897,1598,1424
10,2,0,781,781,2433,2156,1368,1368,1916,1602,1432
11,2,0,781,781,2416,2156,1368,1368,1863,1607,1434
12,2,0,781,781,2413,2156,1368,1368,1898,1587,1437
13,2,0,781,781,2399,2156,1368,1368,1895,1596,1429
14,2,0,781,781,2422,2156,1368,1368,1890,1581,1425
15,2,0,781,781,2415,2156,1368,1368,1911,1615,1427
16,2,0,781,781,2376,2156,1368,1368,1888,1599,1430
17,2,0,781,781,2430,2156,1368,1368,1887,1598,1431
18,2,0,781,781,2444,2156,1368,1368,1868,1604,1441
19,2,0,781,781,2367,2156,1368,1368,1898,1609,1432
0,3,0,819,819,2513,2279,1427,1427,1963,1675,1486
1,3,0,819,819,2456,2279,1427,1427,1998,1694,1504
2,3,0,819,819,2511,2279,1427,1427,1974,1669,1502
3,3,0,819,819,2474,2279,1427,1427,1982,1670,1502
4,3,0,819,819,2472,2279,1427,1427,2003,1664,1503
5,3,0,819,819,2534,2279,1427,1427,1990,1665,1494
6,3,0,819,819,2475,2279,1427,1427,1944,1687,1496
7,3,0,819,819,2488,2279,1427,1427,1997,1656,1501
8,3,0,819,819,2493,2279,1427,1427,1975,1674,1495
9,3,0,819,819,2473,2279,1427,1427,1972,1660,1505
10,3,0,819,819,2532,2279,1427,1427,1982,1666,1504
11,3,0,819,819,2519,2279,1427,1427,1991,1669,1512
12,3,0,819,819,2479,2279,1427,1427,1962,1670,1491
13,3,0,819,819,2487,2279,1427,1427,1974,1644,1497
14,3,0,819,819,2465,2279,1427,1427,1990,1685,1500
15,3,0,819,819,2464,2279,1427,1427,1974,1665,1496
16,3,0,819,819,2525,2279,1427,1427,1970,1665,1498
17,3,0,819,819,2536,2279,1427,1427,1976,1672,1498
18,3,0,819,819,2502,2279,1427,1427,1971,1685,1497
19,3,0,819,819,2569,2279,1427,1427,1978,1664,1500
0,4,0,930,930,2944,2742,1680,1680,2298,1943,1758
1,4,0,930,930,2908,2742,1680,1680,2324,1959,1765
2,4,0,930,930,2895,2742,1680,1680,2302,1946,1751
3,4,0,930,930,2924,2742,1680,1680,2298,1970,1751
4,4,0,930,930,2992,2742,1680,1680,2324,1960,1752
5,4,0,930,930,2910,2742,1680,1680,2298,1952,1758
6,4,0,930,930,2948,2742,1680,1680,2311,1960,1742
7,4,0,930,930,2953,2742,1680,1680,2297,1959,1765
8,4,0,930,930,2940,2742,1680,1680,2315,1954,1752
9,4,0,930,930,2944,2742,1680,1680,2308,1963,1749
10,4,0,930,930,2956,2742,1680,1680,2315,1971,1759
11,4,0,930,930,2937,2742,1680,1680,2303,1949,1763
12,4,0,930,930,2970,2742,1680,1680,2317,1956,1754
13,4,0,930,930,2930,2742,1680,1680,2287,1956,1759
14,4,0,930,930,2933,2742,1680,1680,2342,1957,1765
15,4,0,930,930,2944,2742,1680,1680,2311,1968,1741
16,4,0,930,930,2946,2742,1680,1680,2328,1950,1759
17,4,0,930,930,2970,2742,1680,1680,2320,1972,1752
18,4,0,930,930,2898,2742,1680,1680,2300,1956,1768
19,4,0,930,930,2968,2742,1680,1680,2326,1955,1764
0,5,0,773,773,2458,2218,1377,1377,1922,1627,1447
1,5,0,773,773,2437,2218,1377,1377,1918,1598,1462
2,5,0,773,773,2464,2218,1377,1377,1925,1622,1439
3,5,0,773,773,2426,2218,1377,1377,1917,1627,1456
4,5,0,773,773,2450,2218,1377,1377,1911,1614,1447
5,5,0,773,773,2439,2218,1377,1377,1900,1627,1448
6,5,0,773,773,2505,2218,1377,1377,1916,1621,1444
7,5,0,773,773,2440,2218,1377,1377,1908,1622,1454
8,5,0,773,773,2465,2218,1377,1377,1918,1626,1452
9,5,0,773,773,2462,2218,1377,1377,1937,1626,1455
10,5,0,773,773,2464,2218,1377,1377,1926,1616,1442
11,5,0,773,773,2404,2218,1377,1377,1913,1611,1441
12,5,0,773,773,2425,2218,1377,1377,1938,1612,1455
13,5,0,773,773,2454,2218,1377,1377,1918,1606,1449
14,5,0,773,773,2462,2218,1377,1377,1911,1615,1445
15,5,0,773,773,2415,2218,1377,1377,1927,1623,1448
16,5,0,773,773,2423,2218,1377,1377,1951,1627,1458
17,5,0,773,773,2472,2218,1377,1377,1942,1625,1442
18,5,0,773,773,2431,2218,1377,1377,1935,1618,1447
19,5,0,773,773,2455,2218,1377,1377,1925,1622,1453
0,6,0,839,839,2639,2366,1474,1474,2059,1756,1544
1,6,0,839,839,2592,2366,1474,1474,2063,1733,1566
2,6,0,839,839,2618,2366,1474,1474,2071,1745,1555
3,6,0,839,839,2601,2366,1474,1474,2060,1715,1552
4,6,0,839,839,2651,2366,1474,1474,2067,1751,1551
5,6,0,839,839,2582,2366,1474,1474,2034,1724,1548
6,6,0,839,839,2616,2366,1474,1474,2057,1730,1564
7,6,0,839,839,2584,2366,1474,1474,2043,1743,1552
8,6,0,839,839,2598,2366,1474,1474,2032,1733,1547
9,6,0,839,839,2664,2366,1474,1474,2069,1739,1539
10,6,0,839,839,2594,2366,1474,1474,2041,1731,1568
11,6,0,839,839,2587,2366,1474,1474,2057,1753,1543
12,6,0,839,839,2629,2366,1474,1474,2048,1757,1554
13,6,0,839,839,2640,2366,1474,1474,2067,1726,1544
14,6,0,839,839,2583,2366,1474,1474,2064,1722,1536
15,6,0,839,839,2607,2366,1474,1474,2044,1721,1544
16,6,0,839,839,2590,2366,1474,1474,2047,1722,1547
17,6,0,839,839,2607,2366,1474,1474,2063,1725,1547
18,6,0,839,839,2620,2366,1474,1474,2061,1736,1553
19,6,0,839,839,2564,2366,1474,1474,2081,1736,1550
0,7,0,966,966,3093,2905,1756,1756,2410,2054,1857
1,7,0,966,966,3106,2905,1756,1756,2434,2069,1837
2,7,0,966,966,3054,2905,1756,1756,2452,2050,1834
3,7,0,966,966,3134,2905,1756,1756,2450,2073,1832
4,7,0,966,966,3115,2905,1756,1756,2444,2063,1838
5,7,0,966,966,3158,2905,1756,1756,2450,2056,1829
6,7,0,966,966,3149,2905,1756,1756,2463,2070,1840
7,7,0,966,966,3045,2905,1756,1756,2457,2049,1833
8,7,0,966,966,3118,2905,1756,1756,2458,2074,1827
9,7,0,966,966,3082,2905,1756,1756,2455,2058,1843
10,7,0,966,966,3038,2905,1756,1756,2423,2054,1839
11,7,0,966,966,3120,2905,1756,1756,2427,2053,1849
12,7,0,966,966,3107,2905,1756,1756,2452,2068,1854
13,7,0,966,966,3130,2905,1756,1756,2433,2056,1853
14,7,0,966,966,3084,2905,1756,1756,2451,2069,1841
15,7,0,966,966,3090,2905,1756,1756,2455,2061,1838
16,7,0,966,966,3147,2905,1756,1756,2471,2057,1828
17,7,0,966,966,3103,2905,1756,1756,2396,2059,1853
18,7,0,966,966,3078,2905,1756,1756,2432,2048,1850
19,7,0,966,966,3160,2905,1756,1756,2470,2066,1855
0,8,0,966,966,3021,2774,1715,1715,2389,2009,1798
1,8,0,966,966,2955,2774,1715,1715,2359,2013,1800
2,8,0,966,966,3025,2774,1715,1715,2411,2018,1787
3,8,0,966,966,2981,2774,1715,1715,2403,2010,1809
4,8,0,966,966,3016,2774,1715,1715,2379,2005,1788
5,8,0,966,966,3037,2774,1715,1715,2358,2004,1799
6,8,0,966,966,3004,2774,1715,1715,2388,1998,1809
7,8,0,966,966,3051,2774,1715,1715,2382,1996,1809
8,8,0,966,966,2981,2774,1715,1715,2377,2012,1799
9,8,0,966,966,3053,2774,1715,1715,2367,2018,1791
10,8,0,966,966,3017,2774,1715,1715,2404,2027,1790
11,8,0,966,966,3028,2774,1715,1715,2422,2013,1810
12,8,0,966,966,3011,2774,1715,1715,2356,2016,1804
13,8,0,966,966,2995,2774,1715,1715,2390,2018,1795
14,8,0,966,966,3008,2774,1715,1715,2370,1998,1782
15,8,0,966,966,3068,2774,1715,1715,2365,2002,1793
16,8,0,966,966,3044,2774,1715,1715,2370,2009,1802
17,8,0,966,966,2990,2774,1715,1715,2391,2017,1786
18,8,0,966,966,3104,2774,1715,1715,2388,2024,1806
19,8,0,966,966,2982,2774,1715,1715,2377,2021,1802
0,9,0,1099,1099,3376,3222,1977,1977,2709,2278,2060
1,9,0,1099,1099,3429,3222,1977,1977,2696,2294,2057
2,9,0,1099,1099,3391,3222,1977,1977,2702,2280,2049
3,9,0,1099,1099,3370,3222,1977,1977,2730,2291,2062
4,9,0,1099,1099,3355,3222,1977,1977,2710,2289,2043
5,9,0,1099,1099,3407,3222,1977,1977,2687,2268,2061
6,9,0,1099,1099,3400,3222,1977,1977,2694,2285,2053
7,9,0,1099,1099,3388,3222,1977,1977,2704,2302,2040
8,9,0,1099,1099,3411,3222,1977,1977,2707,2288,2053
9,9,0,1099,1099,3357,3222,1977,1977,2676,2276,2061
10,9,0,1099,1099,3386,3222,1977,1977,2679,2271,2058
11,9,0,1099,1099,3427,3222,1977,1977,2682,2291,2047
12,9,0,1099,1099,3446,3222,1977,1977,2707,2303,2052
13,9,0,1099,1099,3404,3222,1977,1977,2690,2287,2051
14,9,0,1099,1099,3428,3222,1977,1977,2689,2295,2055
15,9,0,1099,1099,3411,3222,1977,1977,2733,2264,2046
16,9,0,1099,1099,3399,3222,1977,1977,2714,2282,2058
17,9,0,1099,1099,3440,3222,1977,1977,2704,2288,2049
18,9,0,1099,1099,3386,3222,1977,1977,2730,2284,2039
19,9,0,1099,1099,3397,3222,1977,1977,2701,2281,2052
0,10,0,824,824,2562,2333,1463,1463,2001,1702,1529
1,10,0,824,824,2493,2333,1463,1463,2009,1693,1530
2,10,0,824,824,2548,2333,1463,1463,2012,1710,1526
3,10,0,824,824,2545,2333,1463,1463,2022,1700,1535
4,10,0,824,824,2544,2333,1463,1463,1991,1688,1528
5,10,0,824,824,2533,2333,1463,1463,2012,1706,1538
6,10,0,824,824,2579,2333,1463,1463,1990,1676,1533
7,10,0,824,824,2547,2333,1463,1463,2025,1697,1522
8,10,0,824,824,2579,2333,1463,1463,2022,1732,1527
9,10,0,824,824,2561,2333,1463,1463,2008,1681,1533
10,10,0,824,824,2530,2333,1463,1463,2024,1697,1542
11,10,0,824,824,2577,2333,1463,1463,2027,1697,1526
12,10,0,824,824,2567,2333,1463,1463,2007,1673,1529
13,10,0,824,824,2549,2333,1463,1463,2030,1687,1543
14,10,0,824,824,2522,2333,1463,1463,2059,1701,1532
15,10,0,824,824,2542,2333,1463,1463,1994,1699,1528
16,10,0,824,824,2539,2333,1463,1463,2011,1692,1532
17,10,0,824,824,2518,2333,1463,1463,2028,1721,1520
18,10,0,824,824,2514,2333,1463,1463,2029,1694,1523
19,10,0,824,824,2547,2333,1463,1463,2014,1691,1521
0,11,0,834,834,2661,2439,1500,1500,2101,1745,1571
1,11,0,834,834,2620,2439,1500,1500,2083,1760,1580
2,11,0,834,834,2622,2439,1500,1500,2090,1731,1558
3,11,0,834,834,2662,2439,1500,1500,2099,1762,1576
4,11,0,834,834,2639,2439,1500,1500,2063,1754,1590
5,11,0,834,834,2659,2439,1500,1500,2085,1753,1571
6,11,0,834,834,2655,2439,1500,1500,2097,1745,1561
7,11,0,834,834,2654,2439,1500,1500,2087,1759,1570
8,11,0,834,834,2632,2439,1500,1500,2065,1741,1559
9,11,0,834,834,2647,2439,1500,1500,2077,1749,1574
10,11,0,834,834,2647,2439,1500,1500,2093,1750,1561
11,11,0,834,834,2636,2439,1500,1500,2087,1756,1569
12,11,0,834,834,2637,2439,1500,1500,2073,1770,1580
13,11,0,834,834,2657,2439,1500,1500,2071,1753,1582
14,11,0,834,834,2704,2439,1500,1500,2083,1729,1592
15,11,0,834,834,2606,2439,1500,1500,2085,1752,1566
16,11,0,834,834,2651,2439,1500,1500,2093,1742,1574
17,11,0,834,834,2655,2439,1500,1500,2042,1758,1571
18,11,0,834,834,2644,2439,1500,1500,2103,1759,1577
19,11,0,834,834,2661,2439,1500,1500,2050,1743,1567
0,12,0,1039,1039,3326,3059,1885,1885,2603,2238,1967
1,12,0,1039,1039,3315,3059,1885,1885,2622,2231,1984
2,12,0,1039,1039,3310,3059,1885,1885,2626,2205,1972
3,12,0,1039,1039,3360,3059,1885,1885,2658,2227,1967
4,12,0,1039,1039,3278,3059,1885,1885,2636,2207,1991
5,12,0,1039,1039,3317,3059,1885,1885,2618,2214,1970
6,12,0,1039,1039,3357,3059,1885,1885,2612,2199,1968
7,12,0,1039,1039,3302,3059,1885,1885,2603,2217,1978
8,12,0,1039,1039,3332,3059,1885,1885,2600,2200,1976
9,12,0,1039,1039,3364,3059,1885,1885,2619,2187,1975
10,12,0,1039,1039,3359,3059,1885,1885,2615,2213,1978
11,12,0,1039,1039,3329,3059,1885,1885,2637,2211,1980
12,12,0,1039,1039,3293,3059,1885,1885,2631,2235,1980
13,12,0,1039,1039,3370,3059,1885,1885,2656,2222,1980
14,12,0,1039,1039,3285,3059,1885,1885,2629,2215,1972
15,12,0,1039,1039,3315,3059,1885,1885,2662,2208,1977
16,12,0,1039,1039,3291,3059,1885,1885,2636,2212,1977
17,12,0,1039,1039,3323,3059,1885,1885,2652,2189,1979
18,12,0,1039,1039,3365,3059,1885,1885,2652,2212,1982
19,12,0,1039,1039,3319,3059,1885,1885,2605,2196,1968
